"id","username","password"
"1","admin","$2y$10$lDDtnZV6XsARkRZS9dsSd.tLbXn7lsp2GTipJ9sjDI54ONCFmGBwa"
"idPasien","namaPasien","jenis","alamat","status"
"36","2023-07-06","1765000","2820000","Vaccination","Pet Food","17","4585000"
"37","2023-07-07","3050000","4210000","Grooming","Pet Toys","27","7260000"
"38","2023-07-08","1420000","2590000","Vaccination","Pet Accessories","15","4010000"
"39","2023-07-09","3340000","4190000","Grooming","Pet Toys","31","7530000"
"40","2023-07-10","2185000","3510000","Vaccination","Pet Food","19","5695000"
"41","2023-07-11","2830000","3860000","Grooming","Pet Accessories","25","6690000"
"42","2023-07-12","1760000","2990000","Grooming","Pet Toys","16","4750000"
"43","2023-07-13","4225000","4970000","Vaccination","Pet Food","39","9195000"
"44","2023-07-14","2155000","3390000","Grooming","Pet Toys","22","5545000"
"45","2023-07-15","1355000","2660000","Consultation","Pet Accessories","12","4015000"
"46","2023-07-16","3580000","4160000","Grooming","Pet Food","30","7740000"
"47","2023-07-17","2750000","3790000","Vaccination","Pet Accessories","23","6540000"
"48","2023-07-18","1965000","3220000","Vaccination","Pet Food","17","5185000"
"49","2023-07-19","4390000","4850000","Grooming","Pet Toys","41","9240000"
"50","2023-07-20","2215000","3510000","Grooming","Pet Accessories","20","5725000"
"51","2023-07-21","1855000","3120000","Vaccination","Pet Toys","16","4975000"
"52","2023-07-22","3640000","4310000","Grooming","Pet Food","32","7950000"
"53","2023-07-23","2635000","3760000","Consultation","Pet Accessories","23","6395000"
"54","2023-07-24","1980000","3280000","Grooming","Pet Toys","17","5260000"
"55","2023-07-25","4520000","4960000","Vaccination","Pet Food","41","9480000"
"56","2023-07-26","2380000","3680000","Grooming","Pet Accessories","21","6060000"
"57","2023-07-27","1985000","2990000","Vaccination","Pet Food","16","4975000"
"58","2023-07-28","3955000","4340000","Grooming","Pet Toys","34","8295000"
"59","2023-07-29","2870000","3980000","Grooming","Pet Accessories","26","6850000"
"60","2023-07-30","2485000","3650000","Vaccination","Pet Toys","21","6135000"
"61","2023-07-31","2050000","3080000","Grooming","Pet Accessories","18","5130000"
"62","2023-06-02","5750000","3400000","Vaccination","Pet Food","53","9150000"
